Dates,CPI
31/01/1999,0.0167
28/02/1999,0.0161
31/03/1999,0.0173
30/04/1999,0.0228
31/05/1999,0.0209
30/06/1999,0.0196
31/07/1999,0.0214
31/08/1999,0.0226
30/09/1999,0.0263
31/10/1999,0.0256
30/11/1999,0.0262
31/12/1999,0.0268
31/01/2000,0.0274
29/02/2000,0.0322
31/03/2000,0.0376
30/04/2000,0.0307
31/05/2000,0.0319
30/06/2000,0.0373
31/07/2000,0.0366
31/08/2000,0.0341
30/09/2000,0.0345
31/10/2000,0.0345
30/11/2000,0.0345
31/12/2000,0.0339
31/01/2001,0.0373
28/02/2001,0.0353
31/03/2001,0.0292
30/04/2001,0.0327
31/05/2001,0.0362
30/06/2001,0.0325
31/07/2001,0.0272
31/08/2001,0.0272
30/09/2001,0.0265
31/10/2001,0.0213
30/11/2001,0.019
31/12/2001,0.0155
31/01/2002,0.0114
28/02/2002,0.0114
31/03/2002,0.0148
30/04/2002,0.0164
31/05/2002,0.0118
30/06/2002,0.0107
31/07/2002,0.0146
31/08/2002,0.018
30/09/2002,0.0151
31/10/2002,0.0203
30/11/2002,0.022
31/12/2002,0.0238
31/01/2003,0.026
28/02/2003,0.0298
31/03/2003,0.0302
30/04/2003,0.0222
31/05/2003,0.0206
30/06/2003,0.0211
31/07/2003,0.0211
31/08/2003,0.0216
30/09/2003,0.0232
31/10/2003,0.0204
30/11/2003,0.0177
31/12/2003,0.0188
31/01/2004,0.0193
29/02/2004,0.0169
31/03/2004,0.0174
30/04/2004,0.0229
31/05/2004,0.0305
30/06/2004,0.0327
31/07/2004,0.0299
31/08/2004,0.0265
30/09/2004,0.0254
31/10/2004,0.0319
30/11/2004,0.0352
31/12/2004,0.0326
31/01/2005,0.0297
28/02/2005,0.0301
31/03/2005,0.0315
30/04/2005,0.0351
31/05/2005,0.028
30/06/2005,0.0253
31/07/2005,0.0317
31/08/2005,0.0364
30/09/2005,0.0469
31/10/2005,0.0435
30/11/2005,0.0346
31/12/2005,0.0342
31/01/2006,0.0399
28/02/2006,0.036
31/03/2006,0.0336
30/04/2006,0.0355
31/05/2006,0.0417
30/06/2006,0.0432
31/07/2006,0.0415
31/08/2006,0.0382
30/09/2006,0.0206
31/10/2006,0.0131
30/11/2006,0.0197
31/12/2006,0.0254
31/01/2007,0.0208
28/02/2007,0.0242
31/03/2007,0.0278
30/04/2007,0.0257
31/05/2007,0.0269
30/06/2007,0.0269
31/07/2007,0.0236
31/08/2007,0.0197
30/09/2007,0.0276
31/10/2007,0.0354
30/11/2007,0.0431
31/12/2007,0.0408
31/01/2008,0.0428
29/02/2008,0.0403
31/03/2008,0.0398
30/04/2008,0.0394
31/05/2008,0.0418
30/06/2008,0.0502
31/07/2008,0.056
31/08/2008,0.0537
30/09/2008,0.0494
31/10/2008,0.0366
30/11/2008,0.0107
31/12/2008,0.0009
31/01/2009,0.0003
28/02/2009,0.0024
31/03/2009,-0.0038
30/04/2009,-0.0074
31/05/2009,-0.0128
30/06/2009,-0.0143
31/07/2009,-0.021
31/08/2009,-0.0148
30/09/2009,-0.0129
31/10/2009,-0.0018
30/11/2009,0.0184
31/12/2009,0.0272
31/01/2010,0.0263
28/02/2010,0.0214
31/03/2010,0.0231
30/04/2010,0.0224
31/05/2010,0.0202
30/06/2010,0.0105
31/07/2010,0.0124
31/08/2010,0.0115
30/09/2010,0.0114
31/10/2010,0.0117
30/11/2010,0.0114
31/12/2010,0.015
31/01/2011,0.0163
28/02/2011,0.0211
31/03/2011,0.0268
30/04/2011,0.0316
31/05/2011,0.0357
30/06/2011,0.0356
31/07/2011,0.0363
31/08/2011,0.0377
30/09/2011,0.0387
31/10/2011,0.0353
30/11/2011,0.0339
31/12/2011,0.0296
31/01/2012,0.0293
29/02/2012,0.0287
31/03/2012,0.0265
30/04/2012,0.023
31/05/2012,0.017
30/06/2012,0.0166
31/07/2012,0.0141
31/08/2012,0.0169
30/09/2012,0.0199
31/10/2012,0.0216
30/11/2012,0.0176
31/12/2012,0.0174
31/01/2013,0.0159
28/02/2013,0.0198
31/03/2013,0.0147
30/04/2013,0.0106
31/05/2013,0.0136
30/06/2013,0.0175
31/07/2013,0.0196
31/08/2013,0.0152
30/09/2013,0.0118
31/10/2013,0.0096
30/11/2013,0.0124
31/12/2013,0.015
31/01/2014,0.0158
28/02/2014,0.0113
31/03/2014,0.0151
30/04/2014,0.0195
31/05/2014,0.0213
30/06/2014,0.0207
31/07/2014,0.0199
31/08/2014,0.017
30/09/2014,0.0166
31/10/2014,0.0166
30/11/2014,0.0132
31/12/2014,0.0076
31/01/2015,-0.0009
28/02/2015,-0.0003
31/03/2015,-0.0007
30/04/2015,-0.002
31/05/2015,-0.0004
30/06/2015,0.0012
31/07/2015,0.0017
31/08/2015,0.002
30/09/2015,-0.0004
31/10/2015,0.0017
30/11/2015,0.005
31/12/2015,0.0073
31/01/2016,0.0137
29/02/2016,0.0102
31/03/2016,0.0085
30/04/2016,0.0113
31/05/2016,0.0102
30/06/2016,0.01
31/07/2016,0.0083
31/08/2016,0.0106
30/09/2016,0.0146
31/10/2016,0.0164
30/11/2016,0.0169
31/12/2016,0.0207
31/01/2017,0.025
28/02/2017,0.0274
31/03/2017,0.0238
30/04/2017,0.022
31/05/2017,0.0187
30/06/2017,0.0163
31/07/2017,0.0173
31/08/2017,0.0194
30/09/2017,0.0223
31/10/2017,0.0204
30/11/2017,0.022
31/12/2017,0.0211
31/01/2018,0.0207
28/02/2018,0.0221
31/03/2018,0.0236
30/04/2018,0.0246
31/05/2018,0.028
30/06/2018,0.0287
31/07/2018,0.0295
31/08/2018,0.027
30/09/2018,0.0228
31/10/2018,0.0252
30/11/2018,0.0218
31/12/2018,0.0191
31/01/2019,0.0155
28/02/2019,0.0152
31/03/2019,0.0186
30/04/2019,0.02
31/05/2019,0.0179
30/06/2019,0.0165
31/07/2019,0.0181
31/08/2019,0.0175
30/09/2019,0.0171
31/10/2019,0.0176
30/11/2019,0.0205
31/12/2019,0.0229
31/01/2020,0.0249
29/02/2020,0.0233
31/03/2020,0.0154
30/04/2020,0.0033
31/05/2020,0.0012
30/06/2020,0.0065
31/07/2020,0.0099
31/08/2020,0.0131
30/09/2020,0.0137
31/10/2020,0.0118
30/11/2020,0.0117
31/12/2020,0.0136
31/01/2021,0.014
28/02/2021,0.0168
31/03/2021,0.0262
30/04/2021,0.0416
31/05/2021,0.0499
30/06/2021,0.0539
31/07/2021,0.0537
31/08/2021,0.0525
30/09/2021,0.0539
31/10/2021,0.0622
30/11/2021,0.0681
31/12/2021,0.0704
31/01/2022,0.0748
28/02/2022,0.0787
31/03/2022,0.0854
30/04/2022,0.0826
31/05/2022,0.0858
30/06/2022,0.0906
31/07/2022,0.0852
31/08/2022,0.0826
30/09/2022,0.082
31/10/2022,0.0775
30/11/2022,0.0711
31/12/2022,0.0645
31/01/2023,0.0641
28/02/2023,0.0604
31/03/2023,0.0498
30/04/2023,0.0493
31/05/2023,0.0405
30/06/2023,0.0297
31/07/2023,0.0318
31/08/2023,0.0367
30/09/2023,0.037
31/10/2023,0.0324
30/11/2023,0.0314
31/12/2023,0.0335
31/01/2024,0.0309
29/02/2024,0.0315
31/03/2024,0.0348
30/04/2024,0.0336
31/05/2024,0.0327
30/06/2024,0.0297
31/07/2024,0.0289
,
