Dates,GDP
31/03/1999,0.03811
30/06/1999,0.03381
30/09/1999,0.054099
31/12/1999,0.067259
31/03/2000,0.014591
30/06/2000,0.074866
30/09/2000,0.004084
31/12/2000,0.024096
31/03/2001,-0.013048
30/06/2001,0.025215
30/09/2001,-0.01593
31/12/2001,0.011036
31/03/2002,0.033876
30/06/2002,0.024734
30/09/2002,0.01636
31/12/2002,0.004953
31/03/2003,0.021233
30/06/2003,0.035898
30/09/2003,0.068206
31/12/2003,0.047243
31/03/2004,0.022859
30/06/2004,0.03136
30/09/2004,0.038487
31/12/2004,0.041437
31/03/2005,0.045118
30/06/2005,0.019851
30/09/2005,0.031723
31/12/2005,0.022407
31/03/2006,0.054911
30/06/2006,0.01039
30/09/2006,0.006012
31/12/2006,0.034824
31/03/2007,0.012088
30/06/2007,0.024696
30/09/2007,0.023241
31/12/2007,0.025367
31/03/2008,-0.016962
30/06/2008,0.024031
30/09/2008,-0.020845
31/12/2008,-0.084728
31/03/2009,-0.044628
30/06/2009,-0.007127
30/09/2009,0.014122
31/12/2009,0.043943
31/03/2010,0.019521
30/06/2010,0.039269
30/09/2010,0.031202
31/12/2010,0.02117
31/03/2011,-0.009454
30/06/2011,0.027339
30/09/2011,-0.000892
31/12/2011,0.045684
31/03/2012,0.033968
30/06/2012,0.017973
30/09/2012,0.005774
31/12/2012,0.004634
31/03/2013,0.04005
30/06/2013,0.010749
30/09/2013,0.034493
31/12/2013,0.035328
31/03/2014,-0.013733
30/06/2014,0.052684
30/09/2014,0.049509
31/12/2014,0.020383
31/03/2015,0.036509
30/06/2015,0.025007
30/09/2015,0.016106
31/12/2015,0.0074
31/03/2016,0.023383
30/06/2016,0.012907
30/09/2016,0.028679
31/12/2016,0.022357
31/03/2017,0.019618
30/06/2017,0.022584
30/09/2017,0.031916
31/12/2017,0.04585
31/03/2018,0.032936
30/06/2018,0.021403
30/09/2018,0.025182
31/12/2018,0.005678
31/03/2019,0.021902
30/06/2019,0.033602
30/09/2019,0.046062
31/12/2019,0.025901
31/03/2020,-0.05341
30/06/2020,-0.280207
30/09/2020,0.348397
31/12/2020,0.042056
31/03/2021,0.052421
30/06/2021,0.06219
30/09/2021,0.032975
31/12/2021,0.069618
31/03/2022,-0.019759
30/06/2022,-0.005639
30/09/2022,0.026606
31/12/2022,0.02566
31/03/2023,0.022442
30/06/2023,0.020602
30/09/2023,0.048617
31/12/2023,0.03396
31/03/2024,0.022928
30/06/2024,0.016531
30/09/2024,0.016311
